"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2019-01-01,"14:09:59","LichtS","A","ein",50999,"2019-01-01",1,"2019"
2019-01-01,"15:15:05","LichtS","B","ein",54905,"2019-01-01",1,"2019"
2019-01-01,"16:05:41","LichtS","B","ein",57941,"2019-01-01",1,"2019"
2019-01-01,"18:25:38","LichtS","A","ein",66338,"2019-01-01",1,"2019"
2019-01-01,"19:05:55","LichtS","A","ein",68755,"2019-01-01",1,"2019"
2019-01-01,"19:53:25","LichtS","A","ein",71605,"2019-01-01",1,"2019"
2019-01-01,"20:24:09","LichtS","A","aus",73449,"2019-01-01",-1,"2019"
2019-01-01,"20:24:15","LichtS","A","aus",73455,"2019-01-01",-1,"2019"
2019-01-01,"20:24:15","LichtS","A","aus",73455,"2019-01-01",-1,"2019"
2019-01-01,"20:24:23","LichtS","A","aus",73463,"2019-01-01",-1,"2019"
2019-01-01,"20:24:28","LichtS","A","aus",73468,"2019-01-01",-1,"2019"
2019-01-01,"20:24:29","LichtS","A","ein",73469,"2019-01-01",1,"2019"
2019-01-01,"20:24:31","LichtS","A","aus",73471,"2019-01-01",-1,"2019"
2019-01-01,"20:24:32","LichtS","A","ein",73472,"2019-01-01",1,"2019"
2019-01-01,"20:37:09","LichtS","A","ein",74229,"2019-01-01",1,"2019"
2019-01-01,"20:49:51","LichtS","B","ein",74991,"2019-01-01",1,"2019"
2019-01-02,"15:15:01","LichtS","B","ein",54901,"2019-01-02",1,"2019"
2019-01-02,"15:15:24","LichtS","B","aus",54924,"2019-01-02",-1,"2019"
2019-01-02,"15:40:08","LichtS","B","ein",56408,"2019-01-02",1,"2019"
2019-01-02,"15:41:02","LichtS","B","aus",56462,"2019-01-02",-1,"2019"
2019-01-02,"15:41:21","LichtS","B","ein",56481,"2019-01-02",1,"2019"
2019-01-02,"15:41:49","LichtS","B","aus",56509,"2019-01-02",-1,"2019"
2019-01-02,"18:44:16","LichtS","A","aus",67456,"2019-01-02",-1,"2019"
2019-01-02,"19:13:25","LichtS","A","ein",69205,"2019-01-02",1,"2019"
2019-01-02,"19:34:53","LichtS","A","ein",70493,"2019-01-02",1,"2019"
2019-01-02,"20:19:47","LichtS","B","ein",73187,"2019-01-02",1,"2019"
2019-01-02,"22:28:43","LichtS","A","aus",80923,"2019-01-02",-1,"2019"
2019-01-02,"22:29:07","LichtS","A","aus",80947,"2019-01-02",-1,"2019"
2019-01-02,"22:30:33","LichtS","A","ein",81033,"2019-01-02",1,"2019"
2019-01-02,"22:42:55","LichtS","A","ein",81775,"2019-01-02",1,"2019"
2019-01-03,"00:12:09","LichtS","A","aus",729,"2019-01-02",-1,"2019"
2019-01-03,"00:12:09","LichtS","A","ein",729,"2019-01-02",1,"2019"
2019-01-03,"00:12:16","LichtS","A","aus",736,"2019-01-02",-1,"2019"
2019-01-03,"00:12:16","LichtS","A","ein",736,"2019-01-02",1,"2019"
2019-01-03,"02:22:43","LichtS","B","aus",8563,"2019-01-02",-1,"2019"
2019-01-03,"02:40:08","LichtS","B","ein",9608,"2019-01-02",1,"2019"
2019-01-03,"05:00:58","LichtS","A","aus",18058,"2019-01-02",-1,"2019"
2019-01-03,"05:09:23","LichtS","A","ein",18563,"2019-01-02",1,"2019"
2019-01-03,"14:13:29","LichtS","B","ein",51209,"2019-01-03",1,"2019"
2019-01-03,"14:13:32","LichtS","B","aus",51212,"2019-01-03",-1,"2019"
2019-01-03,"15:00:03","LichtS","B","ein",54003,"2019-01-03",1,"2019"
2019-01-03,"15:00:06","LichtS","B","aus",54006,"2019-01-03",-1,"2019"
2019-01-03,"17:51:57","LichtS","A","ein",64317,"2019-01-03",1,"2019"
2019-01-03,"17:52:03","LichtS","A","aus",64323,"2019-01-03",-1,"2019"
2019-01-03,"17:52:04","LichtS","A","ein",64324,"2019-01-03",1,"2019"
2019-01-03,"20:05:51","LichtS","A","aus",72351,"2019-01-03",-1,"2019"
2019-01-03,"20:05:55","LichtS","A","ein",72355,"2019-01-03",1,"2019"
2019-01-04,"01:48:48","LichtS","A","ein",6528,"2019-01-03",1,"2019"
2019-01-04,"02:08:55","LichtS","A","aus",7735,"2019-01-03",-1,"2019"
2019-01-04,"02:12:19","LichtS","A","ein",7939,"2019-01-03",1,"2019"
2019-01-04,"04:04:54","LichtS","A","aus",14694,"2019-01-03",-1,"2019"
2019-01-04,"04:04:55","LichtS","A","aus",14695,"2019-01-03",-1,"2019"
2019-01-04,"18:22:13","LichtS","A","ein",66133,"2019-01-04",1,"2019"
2019-01-04,"18:22:59","LichtS","A","aus",66179,"2019-01-04",-1,"2019"
2019-01-04,"18:23:07","LichtS","A","ein",66187,"2019-01-04",1,"2019"
2019-01-04,"19:43:24","LichtS","A","aus",71004,"2019-01-04",-1,"2019"
2019-01-04,"19:43:25","LichtS","A","aus",71005,"2019-01-04",-1,"2019"
2019-01-04,"19:46:07","LichtS","A","ein",71167,"2019-01-04",1,"2019"
2019-01-04,"23:51:59","LichtS","A","aus",85919,"2019-01-04",-1,"2019"
2019-01-05,"00:22:40","LichtS","A","ein",1360,"2019-01-04",1,"2019"
2019-01-05,"03:57:55","LichtS","A","aus",14275,"2019-01-04",-1,"2019"
2019-01-05,"09:28:53","LichtS","A","ein",34133,"2019-01-04",1,"2019"
2019-01-05,"18:59:26","LichtS","A","aus",68366,"2019-01-05",-1,"2019"
2019-01-05,"19:01:32","LichtS","A","aus",68492,"2019-01-05",-1,"2019"
2019-01-05,"19:01:32","LichtS","A","ein",68492,"2019-01-05",1,"2019"
2019-01-05,"19:01:39","LichtS","A","aus",68499,"2019-01-05",-1,"2019"
2019-01-05,"19:01:39","LichtS","A","ein",68499,"2019-01-05",1,"2019"
2019-01-05,"19:01:42","LichtS","A","aus",68502,"2019-01-05",-1,"2019"
2019-01-05,"19:01:43","LichtS","A","ein",68503,"2019-01-05",1,"2019"
2019-01-05,"19:01:48","LichtS","A","aus",68508,"2019-01-05",-1,"2019"
2019-01-05,"19:02:34","LichtS","A","ein",68554,"2019-01-05",1,"2019"
2019-01-05,"19:16:48","LichtS","A","aus",69408,"2019-01-05",-1,"2019"
2019-01-05,"19:16:48","LichtS","A","aus",69408,"2019-01-05",-1,"2019"
2019-01-05,"19:17:43","LichtS","A","aus",69463,"2019-01-05",-1,"2019"
