"WinterNr";"CountNr";"date";"year";"month";"day";"Room";"Category";"ObjectType";"Mdau";"Mmyo";"Mnat";"Mbra";"Paur";"Eser";"ObjectID"
19;1;"19/11/19";2019;11;19;"1";"room";"room";0;1;0;0;0;0;1
19;1;"19/11/19";2019;11;19;"1";"object";"brick_flat";0;1;0;0;0;0;6
19;1;"19/11/19";2019;11;19;"10";"room";"room";4;1;0;0;0;0;23
19;1;"19/11/19";2019;11;19;"10";"object";"brick_large";0;1;0;0;0;0;25
19;1;"19/11/19";2019;11;19;"10";"object";"brick_large";0;1;1;0;0;0;27
19;1;"19/11/19";2019;11;19;"10";"object";"chimney";1;0;0;0;0;0;30
19;1;"19/11/19";2019;11;19;"10";"object";"brick_large";0;2;0;0;0;0;32
19;1;"19/11/19";2019;11;19;"11";"room";"room";0;2;0;0;0;0;45
19;1;"19/11/19";2019;11;19;"11";"object";"chimney";0;1;0;0;0;0;47
19;1;"19/11/19";2019;11;19;"11";"object";"tunnel";2;0;0;0;1;0;52
19;1;"19/11/19";2019;11;19;"12";"room";"room";5;2;0;0;0;0;59
19;1;"19/11/19";2019;11;19;"12";"object";"wall";0;0;1;0;0;0;75
19;1;"19/11/19";2019;11;19;"12";"object";"brick_flat";1;0;0;0;0;0;96
19;1;"19/11/19";2019;11;19;"12";"object";"pile";1;0;0;0;0;0;98
19;1;"19/11/19";2019;11;19;"12";"object";"pile";1;0;0;0;0;0;99
19;1;"19/11/19";2019;11;19;"2";"room";"room";4;0;0;1;0;0;102
19;1;"19/11/19";2019;11;19;"2";"object";"wall";1;0;0;0;0;0;128
19;1;"19/11/19";2019;11;19;"2";"object";"wall";1;0;0;0;0;0;132
19;1;"19/11/19";2019;11;19;"2";"object";"wall";1;0;0;0;0;0;135
19;1;"19/11/19";2019;11;19;"2";"object";"wall";1;0;0;0;0;0;141
19;1;"19/11/19";2019;11;19;"2";"object";"wall";1;0;0;0;0;0;150
19;1;"19/11/19";2019;11;19;"2";"object";"wall";1;0;0;0;0;0;162
19;1;"19/11/19";2019;11;19;"2";"object";"brick_flat";0;1;0;0;0;0;187
19;1;"19/11/19";2019;11;19;"3";"room";"room";6;2;0;0;1;0;195
19;1;"19/11/19";2019;11;19;"3";"object";"chimney";0;7;0;0;0;0;198
19;1;"19/11/19";2019;11;19;"3";"object";"brick_round";1;0;0;0;0;0;214
19;1;"19/11/19";2019;11;19;"3";"object";"wall";1;0;0;0;0;0;241
19;1;"19/11/19";2019;11;19;"3";"object";"wall";1;0;0;0;0;0;252
19;1;"19/11/19";2019;11;19;"4";"room";"room";10;1;0;2;0;0;259
19;1;"19/11/19";2019;11;19;"4";"object";"other";3;0;0;0;0;0;260
19;1;"19/11/19";2019;11;19;"4";"object";"other";1;0;0;0;0;0;277
19;1;"19/11/19";2019;11;19;"5";"room";"room";6;1;1;1;0;0;298
19;1;"19/11/19";2019;11;19;"5";"object";"other";1;0;1;0;0;0;303
19;1;"19/11/19";2019;11;19;"5";"object";"brick_flat";0;1;0;0;0;0;316
19;1;"19/11/19";2019;11;19;"5";"object";"other";3;0;0;0;0;0;334
19;1;"19/11/19";2019;11;19;"5";"object";"other";3;0;0;0;0;0;335
