STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       1757;1898030107;    1;    1.1;  90.0;eor
       1757;1898030114;    1;    5.9;  72.0;eor
       1757;1898030121;    1;    3.6;  85.0;eor
       1757;1898030207;    1;    1.4;  89.0;eor
       1757;1898030214;    1;    3.2;  90.0;eor
       1757;1898030221;    1;    0.8;  98.0;eor
       1757;1898030307;    1;    0.3;  98.0;eor
       1757;1898030314;    1;    2.6;  85.0;eor
       1757;1898030321;    1;    1.2;  96.0;eor
       1757;1898030407;    1;   -0.2; 100.0;eor
       1757;1898030414;    1;   -0.8; 100.0;eor
       1757;1898030421;    1;   -1.5;  78.0;eor
       1757;1898030507;    1;   -2.4;  77.0;eor
       1757;1898030514;    1;    0.8;  63.0;eor
       1757;1898030521;    1;    0.3;  92.0;eor
       1757;1898030607;    1;    0.8;  92.0;eor
       1757;1898030614;    1;    1.7; 100.0;eor
       1757;1898030621;    1;    0.5;  98.0;eor
       1757;1898030707;    1;   -0.2;  85.0;eor
       1757;1898030714;    1;    1.4;  82.0;eor
       1757;1898030721;    1;    0.2;  98.0;eor
       1757;1898030807;    1;    2.0;  98.0;eor
       1757;1898030814;    1;    2.9;  96.0;eor
       1757;1898030821;    1;    3.0;  95.0;eor
       1757;1898030907;    1;    2.2;  94.0;eor
       1757;1898030914;    1;    5.4;  85.0;eor
       1757;1898030921;    1;    4.4;  90.0;eor
       1757;1898031007;    1;    2.9; 100.0;eor
       1757;1898031014;    1;    6.2;  72.0;eor
       1757;1898031021;    1;    3.2;  98.0;eor
       1757;1898031107;    1;    1.8; 100.0;eor
       1757;1898031114;    1;    2.6;  89.0;eor
       1757;1898031121;    1;    1.6;  85.0;eor
       1757;1898031207;    1;   -0.2;  94.0;eor
       1757;1898031214;    1;    2.4;  82.0;eor
       1757;1898031221;    1;    0.0;  96.0;eor
       1757;1898031307;    1;   -4.3; 100.0;eor
       1757;1898031314;    1;    5.5;  67.0;eor
       1757;1898031321;    1;    0.6;  96.0;eor
       1757;1898031407;    1;   -1.8; 100.0;eor
       1757;1898031414;    1;   -0.5;  96.0;eor
       1757;1898031421;    1;    1.2;  78.0;eor
       1757;1898031507;    1;    1.7;  93.0;eor
       1757;1898031514;    1;    5.9;  60.0;eor
       1757;1898031521;    1;    2.1;  84.0;eor
       1757;1898031607;    1;    0.8;  89.0;eor
       1757;1898031614;    1;    3.9;  95.0;eor
       1757;1898031621;    1;    5.0;  97.0;eor
       1757;1898031707;    1;    2.4;  96.0;eor
       1757;1898031714;    1;    6.0;  97.0;eor
       1757;1898031721;    1;    6.3; 100.0;eor
       1757;1898031807;    1;    6.6; 100.0;eor
       1757;1898031814;    1;    9.6;  92.0;eor
       1757;1898031821;    1;    9.4;  88.0;eor
       1757;1898031907;    1;    9.8;  91.0;eor
       1757;1898031914;    1;    8.3;  98.0;eor
       1757;1898031921;    1;    3.9;  78.0;eor
       1757;1898032007;    1;    1.8;  88.0;eor
       1757;1898032014;    1;    5.2;  73.0;eor
       1757;1898032021;    1;    2.4;  74.0;eor
       1757;1898032107;    1;    2.0;  91.0;eor
       1757;1898032114;    1;    4.8;  55.0;eor
       1757;1898032121;    1;    2.6;  82.0;eor
       1757;1898032207;    1;    1.2;  83.0;eor
       1757;1898032214;    1;    4.4;  51.0;eor
       1757;1898032221;    1;    3.2;  80.0;eor
       1757;1898032307;    1;    3.2;  97.0;eor
       1757;1898032314;    1;    4.0;  90.0;eor
       1757;1898032321;    1;    1.6;  96.0;eor
       1757;1898032407;    1;    1.0;  98.0;eor
       1757;1898032414;    1;    3.7;  98.0;eor
       1757;1898032421;    1;    2.2;  94.0;eor
       1757;1898032507;    1;    2.1;  93.0;eor
       1757;1898032514;    1;    3.7;  88.0;eor
       1757;1898032521;    1;    3.2;  90.0;eor
       1757;1898032607;    1;    2.4;  82.0;eor
       1757;1898032614;    1;    3.2;  80.0;eor
       1757;1898032621;    1;    3.2;  90.0;eor
       1757;1898032707;    1;    0.5;  98.0;eor
       1757;1898032714;    1;    6.0;  88.0;eor
       1757;1898032721;    1;    3.8;  90.0;eor
       1757;1898032807;    1;    0.4; 100.0;eor
       1757;1898032814;    1;    8.0;  75.0;eor
       1757;1898032821;    1;    5.2;  94.0;eor
       1757;1898032907;    1;    1.4;  93.0;eor
       1757;1898032914;    1;   10.9;  57.0;eor
       1757;1898032921;    1;    4.9;  82.0;eor
       1757;1898033007;    1;    3.3;  92.0;eor
       1757;1898033014;    1;    3.8;  92.0;eor
       1757;1898033021;    1;    3.5; 100.0;eor
       1757;1898033107;    1;    4.6;  98.0;eor
       1757;1898033114;    1;    3.7; 100.0;eor
       1757;1898033121;    1;    3.0;  90.0;eor
