STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       1757;2024012606;    9;    3.1;  89.0;eor
       1757;2024012612;    9;    6.0;  92.0;eor
       1757;2024012618;    9;    6.0;  78.0;eor
       1757;2024012706;    9;    4.5;  83.0;eor
       1757;2024012712;    9;    5.8;  83.0;eor
       1757;2024012718;    9;    4.6;  85.0;eor
       1757;2024012806;    9;    1.0;  92.0;eor
       1757;2024012812;    9;    6.3;  67.0;eor
       1757;2024012818;    9;    3.8;  81.0;eor
       1757;2024012906;    9;    3.1;  62.0;eor
       1757;2024012912;    9;    7.0;  54.0;eor
       1757;2024012918;    9;    5.8;  61.0;eor
       1757;2024013006;    9;    2.4;  83.0;eor
       1757;2024013012;    9;    6.0;  73.0;eor
       1757;2024013018;    9;    6.3;  80.0;eor
       1757;2024013106;    9;    5.1;  86.0;eor
       1757;2024013112;    9;    5.9;  63.0;eor
       1757;2024013118;    9;    3.9;  72.0;eor
       1757;2024020106;    9;    4.9;  80.0;eor
       1757;2024020112;    9;    7.1;  66.0;eor
       1757;2024020118;    9;    5.5;  72.0;eor
       1757;2024020206;    9;    4.5;  83.0;eor
       1757;2024020212;    9;    5.0;  90.0;eor
       1757;2024020218;    9;    6.7;  94.0;eor
       1757;2024020306;    9;    8.5;  94.0;eor
       1757;2024020312;    9;    9.7;  78.0;eor
       1757;2024020318;    9;    7.3;  76.0;eor
       1757;2024020406;    9;    6.4;  77.0;eor
       1757;2024020412;    9;    7.0;  78.0;eor
       1757;2024020418;    9;    6.9;  80.0;eor
       1757;2024020506;    9;    7.2;  80.0;eor
       1757;2024020512;    9;    6.9;  93.0;eor
       1757;2024020518;    9;    7.7;  91.0;eor
       1757;2024020606;    9;    8.4;  88.0;eor
       1757;2024020612;    9;    9.5;  87.0;eor
       1757;2024020618;    9;    9.6;  90.0;eor
       1757;2024020706;    9;    5.3;  72.0;eor
       1757;2024020712;    9;    3.9;  70.0;eor
       1757;2024020718;    9;    1.3;  70.0;eor
       1757;2024020806;    9;    1.1;  78.0;eor
       1757;2024020812;    9;    2.7;  77.0;eor
       1757;2024020818;    9;    1.4;  85.0;eor
       1757;2024020906;    9;    1.8;  83.0;eor
       1757;2024020912;    9;    0.5;  95.0;eor
       1757;2024020918;    9;    1.2;  95.0;eor
       1757;2024021006;    9;    2.5;  98.0;eor
       1757;2024021012;    9;    3.2;  97.0;eor
       1757;2024021018;    9;    3.2;  96.0;eor
       1757;2024021106;    9;    3.5;  97.0;eor
       1757;2024021112;    9;    3.7;  98.0;eor
       1757;2024021118;    9;    3.8;  96.0;eor
       1757;2024021206;    9;    3.4;  97.0;eor
       1757;2024021212;    9;    4.8;  89.0;eor
       1757;2024021218;    9;    3.7;  92.0;eor
       1757;2024021306;    9;    4.9;  84.0;eor
       1757;2024021312;    9;    8.3;  68.0;eor
       1757;2024021318;    9;    6.9;  79.0;eor
       1757;2024021406;    9;    3.0;  83.0;eor
       1757;2024021412;    9;    5.3;  83.0;eor
       1757;2024021418;    9;    6.9;  95.0;eor
       1757;2024021506;    9;    9.3;  97.0;eor
       1757;2024021512;    9;   12.1;  91.0;eor
       1757;2024021518;    9;   11.4;  94.0;eor
       1757;2024021606;    9;   10.3;  86.0;eor
       1757;2024021612;    9;   14.4;  68.0;eor
       1757;2024021618;    9;   14.0;  75.0;eor
       1757;2024021706;    9;    6.6;  83.0;eor
       1757;2024021712;    9;    6.6;  74.0;eor
       1757;2024021718;    9;    3.9;  82.0;eor
       1757;2024021806;    9;    0.0;  96.0;eor
       1757;2024021812;    9;    6.9;  73.0;eor
       1757;2024021818;    9;    6.7;  78.0;eor
       1757;2024021906;    9;    6.4;  95.0;eor
       1757;2024021912;    9;    5.1;  86.0;eor
       1757;2024021918;    9;    7.0;  88.0;eor
       1757;2024022006;    9;    6.1;  94.0;eor
       1757;2024022012;    9;    7.8;  81.0;eor
       1757;2024022018;    9;    7.9;  82.0;eor
       1757;2024022106;    9;    8.0;  91.0;eor
       1757;2024022112;    9;   10.7;  62.0;eor
       1757;2024022118;    9;    8.8;  82.0;eor
       1757;2024022206;    9;    7.3;  86.0;eor
       1757;2024022212;    9;    8.4;  94.0;eor
       1757;2024022218;    9;    8.9;  95.0;eor
       1757;2024022306;    9;    6.6;  72.0;eor
       1757;2024022312;    9;    8.6;  51.0;eor
       1757;2024022318;    9;    6.8;  64.0;eor
       1757;2024022406;    9;    0.0;  92.0;eor
       1757;2024022412;    9;   10.5;  54.0;eor
       1757;2024022418;    9;    7.2;  71.0;eor
       1757;2024022506;    9;    1.3;  84.0;eor
       1757;2024022512;    9;   11.2;  45.0;eor
       1757;2024022518;    9;    7.5;  69.0;eor
       1757;2024022606;    9;   -1.7;  96.0;eor
       1757;2024022612;    9;    7.0;  70.0;eor
       1757;2024022618;    9;    3.9;  92.0;eor
       1757;2024022706;    9;    2.4;  97.0;eor
       1757;2024022712;    9;    3.3;  92.0;eor
       1757;2024022718;    9;    2.4;  96.0;eor
       1757;2024022806;    9;    1.2;  95.0;eor
       1757;2024022812;    9;    2.0;  81.0;eor
       1757;2024022818;    9;    4.0;  80.0;eor
       1757;2024022906;    9;    0.2;  88.0;eor
       1757;2024022912;    9;    8.0;  61.0;eor
       1757;2024022918;    9;    5.6;  73.0;eor
       1757;2024030106;    9;    7.5;  91.0;eor
       1757;2024030112;    9;    8.9;  87.0;eor
       1757;2024030118;    9;    8.2;  88.0;eor
       1757;2024030206;    9;    6.0;  97.0;eor
       1757;2024030212;    9;   10.1;  93.0;eor
       1757;2024030218;    9;    6.6;  95.0;eor
       1757;2024030306;    9;    4.6;  98.0;eor
       1757;2024030312;    9;    8.5;  88.0;eor
       1757;2024030318;    9;    7.4;  91.0;eor
       1757;2024030406;    9;    4.8;  96.0;eor
       1757;2024030412;    9;    6.6;  84.0;eor
       1757;2024030418;    9;    4.2;  87.0;eor
       1757;2024030506;    9;    3.8;  85.0;eor
       1757;2024030512;    9;    4.2;  81.0;eor
       1757;2024030518;    9;    3.2;  89.0;eor
       1757;2024030606;    9;   -0.3;  97.0;eor
       1757;2024030612;    9;    5.2;  82.0;eor
       1757;2024030618;    9;    4.0;  87.0;eor
       1757;2024030706;    9;   -0.3;  96.0;eor
       1757;2024030712;    9;    6.1;  75.0;eor
       1757;2024030718;    9;    2.3;  86.0;eor
       1757;2024030806;    9;    1.6;  92.0;eor
       1757;2024030812;    9;    5.5;  78.0;eor
       1757;2024030818;    9;    1.8;  80.0;eor
       1757;2024030906;    9;   -1.1;  92.0;eor
       1757;2024030912;    9;    7.1;  62.0;eor
       1757;2024030918;    9;    5.0;  81.0;eor
       1757;2024031006;    9;    4.4;  80.0;eor
       1757;2024031012;    9;    9.0;  65.0;eor
       1757;2024031018;    9;    7.4;  71.0;eor
       1757;2024031106;    9;    6.7;  78.0;eor
       1757;2024031112;    9;    6.6;  84.0;eor
       1757;2024031118;    9;    5.3;  92.0;eor
       1757;2024031206;    9;    5.1;  97.0;eor
       1757;2024031212;    9;    6.1;  94.0;eor
       1757;2024031218;    9;    6.1;  92.0;eor
       1757;2024031306;    9;    5.5;  93.0;eor
       1757;2024031312;    9;   10.5;  64.0;eor
       1757;2024031318;    9;    9.0;  76.0;eor
       1757;2024031406;    9;    8.9;  94.0;eor
       1757;2024031412;    9;   12.4;  77.0;eor
       1757;2024031418;    9;   12.4;  78.0;eor
       1757;2024031506;    9;    8.6;  89.0;eor
       1757;2024031512;    9;   16.8;  61.0;eor
       1757;2024031518;    9;   12.3;  89.0;eor
       1757;2024031606;    9;   10.2;  89.0;eor
       1757;2024031612;    9;    7.6;  72.0;eor
       1757;2024031618;    9;    6.5;  62.0;eor
       1757;2024031706;    9;    3.0;  70.0;eor
       1757;2024031712;    9;    4.2;  63.0;eor
       1757;2024031718;    9;    1.7;  77.0;eor
       1757;2024031806;    9;   -4.1;  94.0;eor
       1757;2024031812;    9;    4.0;  59.0;eor
       1757;2024031818;    9;    1.3;  72.0;eor
       1757;2024031906;    9;   -1.9;  91.0;eor
       1757;2024031912;    9;    7.3;  50.0;eor
       1757;2024031918;    9;    6.8;  57.0;eor
       1757;2024032006;    9;    6.1;  61.0;eor
       1757;2024032012;    9;    9.3;  70.0;eor
       1757;2024032018;    9;    8.2;  86.0;eor
       1757;2024032106;    9;    8.4;  95.0;eor
       1757;2024032112;    9;   10.8;  91.0;eor
       1757;2024032118;    9;    6.7;  93.0;eor
       1757;2024032206;    9;    7.7;  86.0;eor
       1757;2024032212;    9;   11.1;  81.0;eor
       1757;2024032218;    9;    9.3;  83.0;eor
       1757;2024032306;    9;    5.0;  86.0;eor
       1757;2024032312;    9;    9.3;  58.0;eor
       1757;2024032318;    9;    5.6;  77.0;eor
       1757;2024032406;    9;    3.6;  83.0;eor
       1757;2024032412;    9;    5.9;  76.0;eor
       1757;2024032418;    9;    6.4;  79.0;eor
       1757;2024032506;    9;    4.3;  95.0;eor
       1757;2024032512;    9;    8.3;  71.0;eor
       1757;2024032518;    9;    4.7;  76.0;eor
       1757;2024032606;    9;    1.9;  93.0;eor
       1757;2024032612;    9;   11.2;  46.0;eor
       1757;2024032618;    9;    9.8;  60.0;eor
       1757;2024032706;    9;    7.4;  66.0;eor
       1757;2024032712;    9;   15.2;  44.0;eor
       1757;2024032718;    9;   10.0;  79.0;eor
       1757;2024032806;    9;   10.7;  78.0;eor
       1757;2024032812;    9;    9.3;  80.0;eor
       1757;2024032818;    9;    9.6;  71.0;eor
       1757;2024032906;    9;    6.4;  77.0;eor
       1757;2024032912;    9;   12.2;  57.0;eor
       1757;2024032918;    9;   12.1;  63.0;eor
       1757;2024033006;    9;    7.9;  90.0;eor
       1757;2024033012;    9;   16.3;  63.0;eor
       1757;2024033018;    9;    9.4;  85.0;eor
       1757;2024033106;    9;    8.7;  90.0;eor
       1757;2024033112;    9;   11.1;  79.0;eor
       1757;2024033118;    9;    9.3;  82.0;eor
       1757;2024040106;    9;    6.3; 100.0;eor
       1757;2024040112;    9;    8.2;  93.0;eor
       1757;2024040118;    9;    8.1;  93.0;eor
       1757;2024040206;    9;    9.5;  78.0;eor
       1757;2024040212;    9;   12.2;  66.0;eor
       1757;2024040218;    9;    8.2;  81.0;eor
       1757;2024040306;    9;    2.9;  84.0;eor
       1757;2024040312;    9;    6.6;  69.0;eor
       1757;2024040318;    9;    4.2;  85.0;eor
       1757;2024040406;    9;    9.6;  95.0;eor
       1757;2024040412;    9;   14.3;  62.0;eor
       1757;2024040418;    9;   12.1;  88.0;eor
       1757;2024040506;    9;   10.4;  86.0;eor
       1757;2024040512;    9;   15.7;  64.0;eor
       1757;2024040518;    9;   13.5;  94.0;eor
       1757;2024040606;    9;   11.8;  82.0;eor
       1757;2024040612;    9;   17.8;  62.0;eor
       1757;2024040618;    9;   17.6;  67.0;eor
       1757;2024040706;    9;   15.9;  68.0;eor
       1757;2024040712;    9;   18.7;  60.0;eor
       1757;2024040718;    9;   15.0;  77.0;eor
       1757;2024040806;    9;   11.7;  95.0;eor
       1757;2024040812;    9;   14.4;  80.0;eor
       1757;2024040818;    9;   11.0;  92.0;eor
       1757;2024040906;    9;    9.0;  93.0;eor
       1757;2024040912;    9;   20.1;  68.0;eor
       1757;2024040918;    9;   14.2;  74.0;eor
       1757;2024041006;    9;   10.3;  70.0;eor
       1757;2024041012;    9;   11.9;  62.0;eor
       1757;2024041018;    9;   10.7;  61.0;eor
       1757;2024041106;    9;    9.1;  72.0;eor
       1757;2024041112;    9;   12.6;  69.0;eor
       1757;2024041118;    9;   13.4;  76.0;eor
       1757;2024041206;    9;   12.6;  89.0;eor
       1757;2024041212;    9;   16.4;  67.0;eor
       1757;2024041218;    9;   15.4;  79.0;eor
       1757;2024041306;    9;   10.4;  87.0;eor
       1757;2024041312;    9;   18.8;  62.0;eor
       1757;2024041318;    9;   16.9;  66.0;eor
       1757;2024041406;    9;   11.5;  72.0;eor
       1757;2024041412;    9;   13.5;  45.0;eor
       1757;2024041418;    9;   10.2;  56.0;eor
       1757;2024041506;    9;    6.4;  80.0;eor
       1757;2024041512;    9;   11.3;  49.0;eor
       1757;2024041518;    9;    7.7;  90.0;eor
       1757;2024041606;    9;    5.1;  88.0;eor
       1757;2024041612;    9;    4.9;  92.0;eor
       1757;2024041618;    9;    5.0;  77.0;eor
       1757;2024041706;    9;    4.7;  86.0;eor
       1757;2024041712;    9;    6.1;  77.0;eor
       1757;2024041718;    9;    5.6;  75.0;eor
       1757;2024041806;    9;    3.2;  83.0;eor
       1757;2024041812;    9;   10.8;  47.0;eor
       1757;2024041818;    9;    7.1;  78.0;eor
       1757;2024041906;    9;    5.2;  89.0;eor
       1757;2024041912;    9;    5.6;  82.0;eor
       1757;2024041918;    9;    6.2;  88.0;eor
       1757;2024042006;    9;    3.6;  70.0;eor
       1757;2024042012;    9;    5.3;  52.0;eor
       1757;2024042018;    9;    4.5;  63.0;eor
       1757;2024042106;    9;    2.4;  73.0;eor
       1757;2024042112;    9;    6.3;  69.0;eor
       1757;2024042118;    9;    3.5;  54.0;eor
       1757;2024042206;    9;    0.6;  96.0;eor
       1757;2024042212;    9;    3.7;  65.0;eor
       1757;2024042218;    9;    3.0;  67.0;eor
       1757;2024042306;    9;    2.3;  75.0;eor
       1757;2024042312;    9;    7.1;  50.0;eor
       1757;2024042318;    9;    6.5;  60.0;eor
       1757;2024042406;    9;    4.3;  72.0;eor
       1757;2024042412;    9;    9.0;  52.0;eor
       1757;2024042418;    9;    6.8;  72.0;eor
       1757;2024042506;    9;    5.3;  83.0;eor
       1757;2024042512;    9;    6.1;  75.0;eor
       1757;2024042518;    9;    6.7;  75.0;eor
       1757;2024042606;    9;    4.8;  84.0;eor
       1757;2024042612;    9;   13.8;  47.0;eor
       1757;2024042618;    9;    9.1;  80.0;eor
       1757;2024042706;    9;    7.9;  93.0;eor
       1757;2024042712;    9;   12.7;  72.0;eor
       1757;2024042718;    9;   11.0;  68.0;eor
       1757;2024042806;    9;   13.4;  58.0;eor
       1757;2024042812;    9;   20.6;  47.0;eor
       1757;2024042818;    9;   19.2;  53.0;eor
       1757;2024042906;    9;   12.9;  66.0;eor
       1757;2024042912;    9;   15.6;  55.0;eor
       1757;2024042918;    9;   12.9;  66.0;eor
       1757;2024043006;    9;   11.7;  64.0;eor
       1757;2024043012;    9;   13.3;  73.0;eor
       1757;2024043018;    9;   10.6;  88.0;eor
       1757;2024050106;    9;   13.0;  83.0;eor
       1757;2024050112;    9;   16.5;  72.0;eor
       1757;2024050118;    9;   14.5;  65.0;eor
       1757;2024050206;    9;   15.5;  65.0;eor
       1757;2024050212;    9;   19.1;  65.0;eor
       1757;2024050218;    9;   17.2;  70.0;eor
       1757;2024050306;    9;   14.5;  80.0;eor
       1757;2024050312;    9;   15.7;  74.0;eor
       1757;2024050318;    9;   14.7;  84.0;eor
       1757;2024050406;    9;   13.4;  89.0;eor
       1757;2024050412;    9;   16.0;  75.0;eor
       1757;2024050418;    9;   14.5;  80.0;eor
       1757;2024050506;    9;   12.5;  91.0;eor
       1757;2024050512;    9;   15.6;  83.0;eor
       1757;2024050518;    9;   16.2;  57.0;eor
       1757;2024050606;    9;   10.4;  90.0;eor
       1757;2024050612;    9;   14.6;  61.0;eor
       1757;2024050618;    9;   14.0;  66.0;eor
       1757;2024050706;    9;    8.8;  80.0;eor
       1757;2024050712;    9;    9.8;  75.0;eor
       1757;2024050718;    9;    9.3;  74.0;eor
       1757;2024050806;    9;    9.8;  73.0;eor
       1757;2024050812;    9;   13.9;  46.0;eor
       1757;2024050818;    9;   13.2;  52.0;eor
       1757;2024050906;    9;   10.8;  64.0;eor
       1757;2024050912;    9;   17.5;  44.0;eor
       1757;2024050918;    9;   15.9;  55.0;eor
       1757;2024051006;    9;   13.3;  76.0;eor
       1757;2024051012;    9;   18.0;  60.0;eor
       1757;2024051018;    9;   13.9;  78.0;eor
       1757;2024051106;    9;   12.4;  87.0;eor
       1757;2024051112;    9;   15.5;  75.0;eor
       1757;2024051118;    9;   11.8;  87.0;eor
